context,answer,gold_question,gpt3_zero_shot,gpt3_zero_shot_bleu,gpt3_few_shot,gpt3_few_shot_bleu,llama2_zero_shot,llama2_zero_shot_bleu,llama2_few_shot,llama2_few_shot_bleu
"In the early 1990s the memory of Genghis Khan with the Mongolian national identity has had a powerful revival partly because of his perception during the Mongolian People's Republic period. Genghis Khan became one of the central figures of the national identity. He is looked upon positively by Mongolians for his role in uniting warring tribes. For example, it is not uncommon for Mongolians to refer to their country as ""Genghis Khan's Mongolia"", to themselves as ""Genghis Khan's children"", and to Genghis Khan as the ""father of the Mongols"" especially among the younger generation. However, there is a chasm in the perception of his brutality. Mongolians maintain that the historical records written by non-Mongolians are unfairly biased against Genghis Khan and that his butchery is exaggerated, while his positive role is underrated.",his brutality,What do some Mongolians feel non-Mongolian historians exaggerate about Genghis Khan?,What aspect of Genghis Khan's historical legacy do Mongolians believe has been unfairly exaggerated by non-Mongolian historical records?,0.4643325880151344,What aspect of Genghis Khan's legacy is perceived differently by Mongolians and non-Mongolians?,0.4906313638319899,"What is Genghis Khan's reputation among Mongolians, and how do they view his role in their history and national identity?",0.3478097175744564,What is the perception of Genghis Khan's brutality among Mongolians?,0.3876206826414958
"Some civil disobedience defendants choose to make a defiant speech, or a speech explaining their actions, in allocution. In U.S. v. Burgos-Andujar, a defendant who was involved in a movement to stop military exercises by trespassing on U.S. Navy property argued to the court in allocution that ""the ones who are violating the greater law are the members of the Navy"". As a result, the judge increased her sentence from 40 to 60 days. This action was upheld because, according to the U.S. Court of Appeals for the First Circuit, her statement suggested a lack of remorse, an attempt to avoid responsibility for her actions, and even a likelihood of repeating her illegal actions. Some of the other allocution speeches given by the protesters complained about mistreatment from government officials.",lack of remorse,Why is giving a defiant speech sometimes more harmful for the individual?,"What did the U.S. Court of Appeals for the First Circuit believe was suggested by the defendant's statement in allocution that ""the ones who are violating the greater law are the members of the Navy""?",0.12565920767043673,What did the U.S. Court of Appeals for the First Circuit believe was suggested by the defendant's statement in allocution?,0.1729247603799079,"What was the reason for the judge's decision to increase the defendant's sentence in U.S. v. Burgos-Andujar, according to the U.S. Court of Appeals for the First Circuit?",0.14071298454840162,What was the reason given by the U.S. Court of Appeals for the First Circuit for upholding the increased sentence of the defendant in U.S. v. Burgos-Andujar?,0.17441416548488334
"Six-time Grammy winner and Academy Award nominee Lady Gaga performed the national anthem, while Academy Award winner Marlee Matlin provided American Sign Language (ASL) translation.",Six,How many Grammys has Lady Gaga won?,How many Grammy awards has Lady Gaga won?,0.80846720196545,How many Grammy awards has Lady Gaga won?,0.80846720196545,How many Grammy awards has Lady Gaga won?,0.80846720196545,"Sure, here are the questions based on the given context and answers:

1. What group did Paul VI address in New York in 1965?
2. What did Sander's study show in terms of black law students' rankings?
3. What problems does linguistic anthropology bring linguistic methods to bear on?
4. How many Grammy awards has Lady Gaga won?",0.09837240646817143
"Following the election of the UK Labour Party to government in 1997, the UK formally subscribed to the Agreement on Social Policy, which allowed it to be included with minor amendments as the Social Chapter of the 1997 Treaty of Amsterdam. The UK subsequently adopted the main legislation previously agreed under the Agreement on Social Policy, the 1994 Works Council Directive, which required workforce consultation in businesses, and the 1996 Parental Leave Directive. In the 10 years following the 1997 Treaty of Amsterdam and adoption of the Social Chapter the European Union has undertaken policy initiatives in various social policy areas, including labour and industry relations, equal opportunity, health and safety, public health, protection of children, the disabled and elderly, poverty, migrant workers, education, training and youth.",1997,When did the UK formally subscribe to the Agreement on Social Policy?,In what year did the UK formally subscribe to the Agreement on Social Policy?,0.8538651765124674,When did the UK Labour Party come to power?,0.28659502760657446,What year did the UK formally subscribe to the Agreement on Social Policy and adopt the main legislation previously agreed under the agreement?,0.4570023906543381,"Sure, here are the questions based on the context and answers provided:

1. What group did Paul VI address in New York in 1965?
2. What did Sander's study show in terms of black law students' rankings?
3. What problems does linguistic anthropology bring linguistic methods to bear on?
4. In what year did the UK formally subscribe to the Agreement on Social Policy?",0.17999904448458906
"The ""Big Five"" game animals of Africa, that is the lion, leopard, buffalo, rhinoceros, and elephant, can be found in Kenya and in the Masai Mara in particular. A significant population of other wild animals, reptiles and birds can be found in the national parks and game reserves in the country. The annual animal migration occurs between June and September with millions of animals taking part, attracting valuable foreign tourism. Two million wildebeest migrate a distance of 2,900 kilometres (1,802 mi) from the Serengeti in neighbouring Tanzania to the Masai Mara in Kenya, in a constant clockwise fashion, searching for food and water supplies. This Serengeti Migration of the wildebeest is a curious spectacle listed among the 10 Natural Wonders of Africa.",between June and September,When does the annual animal migration occur?,When does the annual animal migration occur in Kenya?,0.8103667351656416,When does the annual animal migration occur in Kenya?,0.8103667351656416,When does the annual animal migration occur in Kenya's Masai Mara?,0.6469817045983506,"Sure, here are the questions based on the given context and answers:

1. What group did Paul VI address in New York in 1965?
2. What did Sander's study show in terms of black law students' rankings?
3. What problems does linguistic anthropology bring linguistic methods to bear on?
4. During which months does the annual animal migration occur in Kenya?",0.11344200236687
"Founded by the American Baptist Education Society with a donation from oil magnate and wealthiest man in history John D. Rockefeller, the University of Chicago was incorporated in 1890; William Rainey Harper became the university's first president in 1891, and the first classes were held in 1892. Both Harper and future president Robert Maynard Hutchins advocated for Chicago's curriculum to be based upon theoretical and perennial issues rather than on applied sciences and commercial utility. With Harper's vision in mind, the University of Chicago also became one of the 14 founding members of the Association of American Universities, an international organization of leading research universities, in 1900.",1892,What year was the first class taught at the University of Chicago?,In what year were the first classes held at the University of Chicago?,0.763740281415609,When were the first classes held at the University of Chicago?,0.7075257686316164,When were the first classes held at the University of Chicago?,0.7075257686316164,When were the first classes held at the University of Chicago?,0.7075257686316164
"Immunodeficiencies occur when one or more of the components of the immune system are inactive. The ability of the immune system to respond to pathogens is diminished in both the young and the elderly, with immune responses beginning to decline at around 50 years of age due to immunosenescence. In developed countries, obesity, alcoholism, and drug use are common causes of poor immune function. However, malnutrition is the most common cause of immunodeficiency in developing countries. Diets lacking sufficient protein are associated with impaired cell-mediated immunity, complement activity, phagocyte function, IgA antibody concentrations, and cytokine production. Additionally, the loss of the thymus at an early age through genetic mutation or surgical removal results in severe immunodeficiency and a high susceptibility to infection.",around 50 years of age,At what age do immune responses typically begin to decline?,At what age does immune response begin to decline due to immunosenescence?,0.6301804076562666,At what age do immune responses begin to decline?,0.8020605905933941,At what age does the immune system's ability to respond to pathogens begin to decline due to immunosenescence?,0.421322306193881,What is the age at which immune responses begin to decline due to immunosenescence?,0.5325105698262047
"The study also found that there were two previously unknown but related clades (genetic branches) of the Y. pestis genome associated with medieval mass graves. These clades (which are thought to be extinct) were found to be ancestral to modern isolates of the modern Y. pestis strains Y. p. orientalis and Y. p. medievalis, suggesting the plague may have entered Europe in two waves. Surveys of plague pit remains in France and England indicate the first variant entered Europe through the port of Marseille around November 1347 and spread through France over the next two years, eventually reaching England in the spring of 1349, where it spread through the country in three epidemics. Surveys of plague pit remains from the Dutch town of Bergen op Zoom showed the Y. pestis genotype responsible for the pandemic that spread through the Low Countries from 1350 differed from that found in Britain and France, implying Bergen op Zoom (and possibly other parts of the southern Netherlands) was not directly infected from England or France in 1349 and suggesting a second wave of plague, different from those in Britain and France, may have been carried to the Low Countries from Norway, the Hanseatic cities or another site.",through the port of Marseille around November 1347,How and when did the first variant of y. pestis enter Europe?,Through which port did the plague enter Europe around November 1347?,0.37685989226980515,When did the first variant of the plague enter Europe?,0.6911638173171707,How did the first variant of the plague enter Europe?,0.6867739170299496,"Sure! Here are the questions based on the context and answer provided:

1. What group did Paul VI address in New York in 1965?
2. What did Sander's study show in terms of black law students' rankings?
3. What problems does linguistic anthropology bring linguistic methods to bear on?
4. How did the plague enter Europe in the 14th century?",0.10632495667314312
"Versions of the ""Doctor Who Theme"" have also been released as pop music over the years. In the early 1970s, Jon Pertwee, who had played the Third Doctor, recorded a version of the Doctor Who theme with spoken lyrics, titled, ""Who Is the Doctor"".[note 6] In 1978 a disco version of the theme was released in the UK, Denmark and Australia by the group Mankind, which reached number 24 in the UK charts. In 1988 the band The Justified Ancients of Mu Mu (later known as The KLF) released the single ""Doctorin' the Tardis"" under the name The Timelords, which reached No. 1 in the UK and No. 2 in Australia; this version incorporated several other songs, including ""Rock and Roll Part 2"" by Gary Glitter (who recorded vocals for some of the CD-single remix versions of ""Doctorin' the Tardis""). Others who have covered or reinterpreted the theme include Orbital, Pink Floyd, the Australian string ensemble Fourplay, New Zealand punk band Blam Blam Blam, The Pogues, Thin Lizzy, Dub Syndicate, and the comedians Bill Bailey and Mitch Benn. Both the theme and obsessive fans were satirised on The Chaser's War on Everything. The theme tune has also appeared on many compilation CDs, and has made its way into mobile-phone ringtones. Fans have also produced and distributed their own remixes of the theme. In January 2011 the Mankind version was released as a digital download on the album Gallifrey And Beyond.",Jon Pertwee,Who recorded a version of the Doctor Who theme with spoken lyrics in the 1970's?,"Who recorded a version of the Doctor Who theme with spoken lyrics titled ""Who Is the Doctor""?",0.7505481745787623,Who recorded a version of the Doctor Who theme with spoken lyrics in the early 1970s?,0.903697267315497,"Who recorded a version of the Doctor Who theme with spoken lyrics, titled ""Who Is the Doctor""?",0.7367856768140003,"Who recorded a version of the Doctor Who theme with spoken lyrics titled ""Who Is the Doctor""?",0.7505481745787623
"Walt Disney and his brother Roy contacted Goldenson at the end of 1953 for ABC to agree to finance part of the Disneyland project in exchange for producing a television program for the network. Walt wanted ABC to invest $500,000 and accrued a guarantee of $4.5 million in additional loans, a third of the budget intended for the park. Around 1954, ABC agreed to finance Disneyland in exchange for the right to broadcast a new Sunday night program, Disneyland, which debuted on the network on October 27, 1954 as the first of many anthology television programs that Disney would broadcast over the course of the next 50 years.","$500,000",How much did Walt Disney want ABC to invest in Disneyland?,How much did Walt Disney want ABC to invest in the Disneyland project in exchange for producing a television program for the network?,0.41792006804771603,How much did Walt Disney want ABC to invest in the Disneyland project?,0.802362401329898,How much did Walt Disney ask ABC to invest in the Disneyland project in exchange for producing a television program for the network?,0.3889957274056645,"Sure! Here are the questions based on the context and answers provided:

1. What group did Paul VI address in New York in 1965?
2. What did Sander's study show in terms of black law students' rankings?
3. What problems does linguistic anthropology bring linguistic methods to bear on?
4. How much did ABC agree to finance for the Disneyland project?",0.10322034488022129
